id,area,feature,user_story,expected_behavior,source,tests,status,test_method,result,errors_found,fix_applied,retest_result
DASH-01,Dashboard,Home/Welcome row,"As a user, I want a Home row at the top of the dashboard, so that I can see the welcome screen with no workspace active.",'[amux]' is the first selectable row. Selecting it (Enter/click) emits ShowWelcome and renders the welcome screen; bold+primary when no workspace active.,dashboard/model.go; dashboard_render.go,"dashboard/model_actions_test.go, active_test.go",Pass,code-trace (Phase 2 multi-agent verify),"dashboard_state.go:64-67 makes RowHome the first row ({Type: RowHome}); renderRow dashboard_render.go:20-34 renders '[amux]' and, when activeRoot=="""", applies Bold + ColorPrimary (lines 28-33). handleEnter/activateCurrentRow (dashboard_navigation.go:173-174, 215-216) emit messages.ShowWelcome for RowHome. Update sets activeRoot="""" on ShowWelcome (model_update.go:107-108). Tested by TestDashboardHandleEnterHome and TestDashboardHomeActive.",,,
DASH-02,Dashboard,Project rows,"As a user, I want each project shown as a selectable row, so that I can navigate and manage projects.",Each project is one row showing its name + main-workspace status (dirty/deleting). Enter/click activates the project's main/primary workspace.,dashboard/dashboard_state.go; dashboard_render.go,"dashboard/model_actions_test.go, click_test.go",Pass,code-trace (Phase 2 multi-agent verify),rebuildRows (dashboard_state.go:77-82) appends one RowProject per project. renderRow RowProject (dashboard_render.go:36-93) shows project name + main-workspace status: 'deleting' spinner when m.deletingWorkspaces[main.Root] (line 44-46) and dirty color when statusCache shows !Clean (line 47-49). handleEnter for RowProject activates main/primary workspace via WorkspaceActivated (dashboard_navigation.go:217-235). Tested by TestDashboardHandleEnterProjectSelectsMain and TestMouseClickOnRows.,,,
DASH-03,Dashboard,Workspace rows,"As a user, I want child workspaces listed under their project, so that I can select a specific branch workspace.","Non-main workspaces appear indented, sorted newest-first then by name. Each shows name + status (creating/deleting spinner, activity, dirty). Enter/click activates it.",dashboard/dashboard_state.go; dashboard_render.go,"dashboard/model_actions_test.go, model_test.go",Pass,code-trace (Phase 2 multi-agent verify),"rebuildRows (dashboard_state.go:84-96) iterates sortedWorkspaces, skipping main/primary, appending RowWorkspace. sortedWorkspaces (dashboard_state.go:159-167) sorts Created.After (newest-first) then by Name then Root. renderRow RowWorkspace (dashboard_render.go:95-155) uses a 2-space prefix (unstyledPrefix+styledPrefix) for indentation vs project's 1-space, and shows creating/deleting spinner (lines 105-110), active color (111-113), or dirty color (114-116). Enter activates via WorkspaceActivated (dashboard_navigation.go:236-242). Tested by TestDashboardHandleEnterWorkspace.",,,
DASH-04,Dashboard,'+ New' workspace row,"As a user, I want a '+ New' row per project, so that I can create a workspace from the dashboard.",A selectable '+ New' row follows each project; Enter/click opens the Create Workspace dialog.,dashboard/dashboard_state.go; dashboard_render.go,"dashboard/model_actions_test.go, click_test.go",Pass,code-trace (Phase 2 multi-agent verify),rebuildRows (dashboard_state.go:98-101) appends a RowCreate after each project's workspaces. renderRow RowCreate (dashboard_render.go:157-164) renders the Add icon + ' New '. handleEnter for RowCreate emits messages.ShowCreateWorkspaceDialog{Project} (dashboard_navigation.go:243-246). Tested by TestDashboardHandleEnterCreate and the click test 'click Create button triggers ShowCreateWorkspaceDialog'.,,,
DASH-05,Dashboard,Vertical navigation (j/k/arrows),"As a user, I want to move up/down through rows, so that I can select workspaces with the keyboard.","j/Down and k/Up move one selectable row, skipping spacer rows; selected row highlighted; movement auto-activates (preview) the new row.",dashboard/dashboard_navigation.go; model_update.go,"dashboard/model_test.go, model_cursor_test.go",Pass,code-trace (Phase 2 multi-agent verify),"handleNavKey (model_update.go:142-153) maps j/down and k/up to moveCursor(±1) then returns m.activateCurrentRow() (preview). moveCursor (dashboard_navigation.go:82-107) walks via findSelectableRow, skipping RowSpacer (isSelectable line 11-13). Selected row highlight in renderRow (selected branch). Tested by TestMoveCursorRowByRow (spacer skipping) and TestDashboardArrowKeyActivatesWorkspace (movement emits WorkspaceActivated).",,,
DASH-06,Dashboard,"Half-page scroll (PgUp/PgDn, Ctrl-U/D)","As a user with many workspaces, I want half-page jumps, so that I can move quickly.","PageDown/Ctrl+D and PageUp/Ctrl+U move ~half the visible height, skipping spacers; clamps at the first/last selectable row (no dead-end). (Toolbar focus is reached via j/Down only.)",dashboard/model_update.go,dashboard/model_cursor_test.go,Pass,code-trace (Phase 2 multi-agent verify),"handleNavKey (model_update.go:154-169) maps pgdown/ctrl+d and pgup/ctrl+u to moveCursor(±visibleHeight/2) then activateCurrentRow; delta floored at 1. moveCursor skips spacers. NOTE: the catalog's clause 'PgDn at the last row transitions focus to the toolbar' is inaccurate — the pgdown case never sets m.toolbarFocused; only the j/down case does that (model_update.go:142-146). PgDn simply stops at the last selectable row, which is reasonable (no dead-end); the toolbar inaccuracy is a catalog overstatement, not a code defect, so this is a Pass.",,,
DASH-07,Dashboard,Jump to top/bottom (g/G),"As a user, I want to jump to the first/last row, so that I can reach Home or the newest workspace fast.",'g' jumps to first selectable (Home); 'G' jumps to last selectable row.,dashboard/model_update.go,(trace),Pass,code-trace (Phase 2 multi-agent verify),"handleNavKey (model_update.go:176-187): 'G' sets cursor to findSelectableRow(len-1, -1) (last selectable) and activates; 'g' sets cursor to findSelectableRow(0, 1) (first selectable = Home) and activates. Distinct key bindings, no conflict. Help line labels 'g top' / 'G bottom' (dashboard_render.go:207-208) match behavior.",,,
DASH-08,Dashboard,Activate workspace (Enter/click),"As a user, I want to activate a workspace, so that the center pane shows its agents.",Enter on a workspace/project row emits WorkspaceActivated; Enter on Home emits ShowWelcome; the activated workspace becomes 'active'.,dashboard/dashboard_navigation.go,"dashboard/model_actions_test.go, click_test.go; e2e/workspace_agent_test.go",Pass,code-trace (Phase 2 multi-agent verify),"handleEnter (dashboard_navigation.go:208-250): RowWorkspace/RowProject emit messages.WorkspaceActivated, RowHome emits messages.ShowWelcome, RowCreate emits ShowCreateWorkspaceDialog. Update on WorkspaceActivated sets m.activeRoot=msg.Workspace.Root (model_update.go:102-105), making it 'active'. Mouse left-click also routes to handleEnter (model_update.go:71-72). Tested by TestDashboardHandleEnter* and TestMouseClickOnRows.",,,
DASH-09,Dashboard,Delete workspace via 'D',"As a user, I want to press D to delete the selected workspace, so that I can remove a branch by keyboard.","On a workspace row, 'D' opens the Delete Workspace dialog; on a project row, 'D' opens Remove Project; lowercase 'd' is ignored.",dashboard/dashboard_navigation.go,dashboard/model_actions_test.go,Pass,code-trace (Phase 2 multi-agent verify),"handleNavKey binds 'D' (uppercase only) to handleDelete (model_update.go:172-173). handleDelete (dashboard_navigation.go:253-276): RowWorkspace -> ShowDeleteWorkspaceDialog, RowProject -> ShowRemoveProjectDialog, else nil. Lowercase 'd' has no binding so it is ignored. Explicitly tested by TestDashboardDeleteKeyBinding ('lowercase d ignored', 'uppercase D triggers delete', 'triggers remove on project').",,,
DASH-10,Dashboard,Delete via row 'x' icon (mouse),"As a user, I want a delete 'x' on the selected row, so that I can delete with the mouse.",The selected workspace/project row shows an 'x' delete icon; clicking it opens the matching delete/remove dialog.,dashboard/dashboard_render.go; model_update.go,dashboard/click_test.go,Pass,code-trace (Phase 2 multi-agent verify),"renderRow reserves a 3-char delete slot and, when the row is selected, renders ' <Close> ' and records m.deleteIconX (dashboard_render.go:70-93 for project, 132-153 for workspace). Mouse left-click handler (model_update.go:54-68) detects clicks where contentX is within [deleteIconX, deleteIconX+3) on the currently-selected RowProject/RowWorkspace and calls handleDelete(), opening the matching delete/remove dialog. Only the selected row exposes the icon (deleteSlot stays blank otherwise).",,,
